N D_0 v_0 range delta_t dt J polarization pol_var
200 0 0.5 1 0 0.01 1 0.99856 3.53246e-08
200 0 0.5 1 1 0.01 1 0.999999 2.475e-13
200 0 0.5 1 2 0.01 1 0.886079 1.04939e-05
200 0 0.5 1 3 0.01 1 0.446086 0.00121252
200 0 0.5 1 4 0.01 1 0.360158 0.00187436
200 0 0.5 1 5 0.01 1 0.100915 0.00025462
200 0.1 0.5 1 0 0.01 1 0.979425 4.40581e-06
200 0.1 0.5 1 1 0.01 1 0.967413 1.46008e-05
200 0.1 0.5 1 2 0.01 1 0.817273 0.000205458
200 0.1 0.5 1 3 0.01 1 0.392312 0.00593176
200 0.1 0.5 1 4 0.01 1 0.221171 0.00208305
200 0.1 0.5 1 5 0.01 1 0.288266 0.00190125
200 0.2 0.5 1 0 0.01 1 0.939391 7.84942e-05
200 0.2 0.5 1 1 0.01 1 0.888768 0.000141574
200 0.2 0.5 1 2 0.01 1 0.632157 0.000606831
200 0.2 0.5 1 3 0.01 1 0.292133 0.00115665
200 0.2 0.5 1 4 0.01 1 0.150239 0.000643966
200 0.2 0.5 1 5 0.01 1 0.15445 0.00105487
200 0.5 0.5 1 0 0.01 1 0.206719 0.012535
200 0.5 0.5 1 1 0.01 1 0.0821722 0.00170367
200 0.5 0.5 1 2 0.01 1 0.0455854 0.000436245
200 0.5 0.5 1 3 0.01 1 0.0762674 0.00138381
200 0.5 0.5 1 4 0.01 1 0.0787142 0.00107059
200 0.5 0.5 1 5 0.01 1 0.0507363 0.000525197
200 1 0.5 1 0 0.01 1 0.0715386 0.00161832
200 1 0.5 1 1 0.01 1 0.0712463 0.000644153
200 1 0.5 1 2 0.01 1 0.0818195 0.001155
200 1 0.5 1 3 0.01 1 0.0552886 0.00054518
200 1 0.5 1 4 0.01 1 0.0658987 0.00079245
200 1 0.5 1 5 0.01 1 0.0620994 0.00112607
